Pavarde        Vardas         Galutinis (Vid.)
------------------------------------------------
Tomas          Kairys             5.80
Mantas         Petrauskas         6.51
Deividas       Zelvys             6.97
Ignas          Žukauskas          8.17
Gabrielius     Kairys             7.94
Vilius         Norkus             6.26
Deividas       Kazlauskas         6.43
Giedrius       Jasinskas          5.91
Deividas       Juodka             5.83
Mindaugas      Butkus             5.51
Paulius        Rutkauskas         8.17
Laurynas       Stankevičius       7.31
Edgaras        Jankauskas         8.69
Dominykas      Sabonis            7.63
Andrius        Stankevičius       5.09
Simonas        Misevičius         7.09
Arnas          Stankevičius       6.09
Justinas       Navickas           5.49
Gabrielius     Rutkauskas         6.31
Mantas         Balčiūnas          6.46
Ernestas       Bagdonas           5.37
Rokas          Žukauskas          5.97
Ignas          Sakalauskas        8.86
Simonas        Jasinskas          6.31
Saulius        Sabonis            5.26
Ernestas       Sabonis            6.37
Justinas       Jankauskas         5.03
Vilius         Petraitis          6.63
Rokas          Urbonas            5.23
Edgaras        Navickas           6.80
Ernestas       Sabonis            8.91
Saulius        Stankevičius       6.49
Gabrielius     Rutkauskas         6.51
Laurynas       Rutkauskas         8.20
Saulius        Urbonas            6.29
Dominykas      Butkus             6.03
Giedrius       Dapkus             6.20
Laurynas       Balčiūnas          7.31
Justinas       Paulauskas         5.06
Mindaugas      Vaitkus            6.23
Dovydas        Kazlauskas         5.83
Tomas          Norkus             5.11
Justinas       Vaičiūnas          6.34
Eimantas       Petrauskas         7.89
Martynas       Petrauskas         6.71
Ernestas       Bagdonas           5.54
Simonas        Juodka             6.74
Martynas       Pocius             5.17
Paulius        Kazlauskas         5.97
Paulius        Morkūnas           5.54
Edgaras        Morkūnas           5.40
Mantas         Matulis            7.74
Tomas          Vaitkus            7.97
Antanas        Juodka             7.86
Simonas        Urbonas            7.09
Vilius         Matulis            5.89
Aurimas        Navickas           7.77
Deividas       Pocius             7.09
Arvydas        Pocius             6.71
Karolis        Butkus             7.94
Dominykas      Žukauskas          5.31
Šarūnas        Pocius             6.57
Dovydas        Norkus             6.86
Martynas       Juodka             6.37
Arvydas        Petraitis          5.11
Ignas          Balčiūnas          7.51
Dominykas      Vaitkus            6.26
Arnas          Dapkus             6.03
Deividas       Paulauskas         5.14
Andrius        Petrauskas         6.00
Mantas         Jasinskas          6.14
Eimantas       Sakalauskas        8.23
Ignas          Paulauskas         6.51
Jonas          Jankauskas         6.23
Dominykas      Morkūnas           5.91
Tomas          Bagdonas           5.11
Deividas       Kairys             7.03
Vytautas       Morkūnas           6.63
Aurimas        Butkus             7.86
Ernestas       Kundrotas          7.09
Gabrielius     Pocius             7.00
Ignas          Rutkauskas         5.89
Ignas          Dapkus             6.06
Andrius        Kairys             6.11
Karolis        Juodka             7.23
Deividas       Pocius             5.00
Dominykas      Matulis            6.83
Aurimas        Butkus             5.89
Gabrielius     Balčiūnas          8.11
Eimantas       Sakalauskas        8.17
Antanas        Paulauskas         8.54
Vilius         Dapkus             6.69
Tomas          Stankevičius       5.74
Dovydas        Petrauskas         6.77
Dominykas      Petraitis          7.31
Antanas        Kazlauskas         6.60
Arvydas        Balčiūnas          5.54
Justinas       Vaičiūnas          6.63
Paulius        Juodka             8.57
Giedrius       Žukauskas          8.11
Antanas        Jasinskas          8.14
Dovydas        Jasinskas          5.89
Mindaugas      Kairys             7.57
Dominykas      Pocius             6.31
Antanas        Pocius             7.94
Laurynas       Zelvys             5.03
Arnas          Jasinskas          6.49
Lukas          Juodka             5.71
Mindaugas      Butkus             5.20
Ernestas       Morkūnas           5.03
Andrius        Matulis            6.91
Karolis        Morkūnas           7.57
Rokas          Dapkus             6.74
Eimantas       Matulis            5.60
Andrius        Paulauskas         6.23
Dominykas      Kundrotas          7.31
Mindaugas      Vaitkus            5.09
Karolis        Zelvys             8.80
Šarūnas        Vaičiūnas          7.46
Justinas       Šimkus             5.54
Lukas          Juodka             6.20
Gabrielius     Bagdonas           6.86
Dovydas        Zelvys             7.80
Mantas         Kazlauskas         7.06
Giedrius       Paulauskas         5.20
Laurynas       Morkūnas           5.80
Paulius        Juodka             7.54
Aurimas        Kazlauskas         7.94
Gabrielius     Pocius             8.80
Dominykas      Dapkus             6.23
Martynas       Petrauskas         6.20
Lukas          Kazlauskas         8.17
Ignas          Stankevičius       5.54
Vilius         Sakalauskas        6.66
Saulius        Matulis            5.00
Dovydas        Petraitis          8.00
Mindaugas      Misevičius         8.46
Giedrius       Matulis            6.23
Mantas         Norkus             6.34
Edgaras        Norkus             6.86
Deividas       Žukauskas          6.11
Mantas         Balsys             5.89
Rokas          Butkus             5.86
Vilius         Butkus             5.94
Arnas          Pocius             6.43
Justinas       Bagdonas           8.49
Giedrius       Kazlauskas         6.80
Martynas       Sabonis            5.54
Ernestas       Petraitis          6.20
Gabrielius     Norkus             6.37
Eimantas       Šimkus             8.03
Vilius         Petrauskas         5.83
Edgaras        Kundrotas          5.40
Lukas          Navickas           6.74
Vytautas       Juodka             6.49
Saulius        Pocius             6.17
Šarūnas        Pocius             6.06
Justinas       Misevičius         6.89
Tomas          Sabonis            8.34
Gabrielius     Dapkus             6.31
Paulius        Butkus             7.60
Arnas          Bagdonas           6.40
Vilius         Rutkauskas         6.57
Lukas          Navickas           5.80
Karolis        Urbonas            5.57
Vytautas       Zelvys             5.89
Mindaugas      Stankevičius       5.74
Eimantas       Petrauskas         5.14
Mantas         Butkus             8.09
Dominykas      Sabonis            6.31
Jonas          Sakalauskas        7.37
Edgaras        Vaičiūnas          7.66
Mantas         Balsys             7.54
Aurimas        Butkus             6.54
Edgaras        Balsys             6.83
Lukas          Kazlauskas         5.40
Laurynas       Rutkauskas         5.03
Giedrius       Jasinskas          7.60
Simonas        Vaitkus            5.17
Ignas          Kairys             7.46
Lukas          Butkus             6.49
Eimantas       Juodka             5.83
Rokas          Jasinskas          7.03
Gabrielius     Juodka             7.46
Justinas       Sabonis            5.29
Arvydas        Bagdonas           5.69
Laurynas       Norkus             7.06
Mindaugas      Jankauskas         6.71
Vilius         Šimkus             7.80
Mantas         Balčiūnas          8.29
Rokas          Norkus             8.09
Lukas          Vaičiūnas          5.69
Ignas          Sakalauskas        5.71
Paulius        Urbonas            8.80
Lukas          Žukauskas          5.40
Simonas        Balčiūnas          5.60
Vilius         Šimkus             7.60
Jonas          Matulis            7.00
Arnas          Kundrotas          7.11
Rokas          Misevičius         5.06
Saulius        Stankevičius       8.03
Tomas          Petrauskas         8.23
Ignas          Norkus             7.00
Simonas        Norkus             5.97
Simonas        Vaičiūnas          6.74
Gabrielius     Matulis            6.77
Gabrielius     Petraitis          7.66
Ernestas       Sabonis            7.94
Vilius         Stankevičius       9.54
Arvydas        Jasinskas          7.89
Tomas          Navickas           7.00
Karolis        Jasinskas          6.11
Ignas          Vaitkus            6.86
Laurynas       Butkus             5.51
Tomas          Petraitis          7.49
Vilius         Navickas           5.77
Arnas          Kundrotas          7.34
Lukas          Navickas           5.11
Arnas          Rutkauskas         5.71
Aurimas        Balsys             6.54
Dominykas      Norkus             5.97
Dominykas      Kairys             6.54
Aurimas        Butkus             7.34
Justinas       Petrauskas         6.83
Vytautas       Zelvys             7.91
Vytautas       Juodka             7.17
Saulius        Butkus             6.54
Giedrius       Rutkauskas         7.46
Arnas          Urbonas            6.06
Mantas         Misevičius         5.40
Simonas        Paulauskas         7.91
Simonas        Butkus             5.06
Edgaras        Sabonis            5.74
Simonas        Petraitis          6.40
Aurimas        Navickas           5.34
Laurynas       Misevičius         7.17
Rokas          Petrauskas         8.37
Aurimas        Bagdonas           5.09
Ernestas       Matulis            7.46
Antanas        Morkūnas           5.66
Antanas        Bagdonas           6.00
Saulius        Morkūnas           7.60
Saulius        Kairys             6.17
Lukas          Jankauskas         8.57
Aurimas        Morkūnas           6.77
Tomas          Šimkus             8.34
Dominykas      Petraitis          6.66
Vilius         Kairys             6.63
Jonas          Balčiūnas          5.29
Paulius        Kundrotas          7.31
Eimantas       Butkus             5.09
Vilius         Jasinskas          7.94
Dovydas        Sakalauskas        7.31
Laurynas       Butkus             7.60
Arnas          Jankauskas         7.14
Andrius        Juodka             5.11
Gabrielius     Jasinskas          6.46
Mindaugas      Petrauskas         5.43
Deividas       Stankevičius       7.34
Eimantas       Norkus             7.66
Martynas       Sakalauskas        5.80
Karolis        Sabonis            7.69
Vytautas       Kairys             5.43
Lukas          Vaičiūnas          7.60
Mindaugas      Stankevičius       6.69
Paulius        Petraitis          8.00
Ernestas       Morkūnas           7.60
Mindaugas      Kundrotas          5.63
Paulius        Kairys             7.17
Šarūnas        Sakalauskas        7.40
Simonas        Morkūnas           5.89
Ernestas       Pocius             7.14
Vilius         Vaičiūnas          5.49
Saulius        Bagdonas           5.40
Andrius        Juodka             5.89
Dominykas      Kairys             6.77
Gabrielius     Sakalauskas        5.51
Eimantas       Kairys             7.83
Aurimas        Dapkus             7.66
Arnas          Paulauskas         7.26
Deividas       Kundrotas          6.63
Dovydas        Kairys             7.11
Laurynas       Kazlauskas         6.46
Mindaugas      Petrauskas         5.63
Dominykas      Rutkauskas         7.51
Ignas          Dapkus             5.97
Martynas       Jankauskas         5.57
Vilius         Bagdonas           6.49
Mantas         Balsys             5.17
Saulius        Žukauskas          5.00
Simonas        Sakalauskas        6.26
Tomas          Kairys             7.20
Mindaugas      Balsys             7.00
Tomas          Rutkauskas         6.66
Giedrius       Norkus             6.66
Aurimas        Rutkauskas         5.31
Jonas          Kundrotas          5.40
Vilius         Dapkus             5.37
Ignas          Juodka             8.03
Arvydas        Petrauskas         7.09
Deividas       Žukauskas          5.40
Mantas         Balsys             8.51
Arnas          Vaitkus            5.97
Mantas         Balčiūnas          5.26
Karolis        Kazlauskas         7.26
Edgaras        Vaičiūnas          5.77
Deividas       Bagdonas           5.74
Deividas       Juodka             5.20
Šarūnas        Paulauskas         5.69
Aurimas        Vaitkus            5.06
Ignas          Bagdonas           5.66
Edgaras        Matulis            5.49
Edgaras        Vaičiūnas          5.77
Arvydas        Vaitkus            6.60
Ignas          Balčiūnas          6.71
Antanas        Sakalauskas        6.63
Justinas       Dapkus             6.94
Edgaras        Balčiūnas          7.34
Vytautas       Bagdonas           7.34
Antanas        Stankevičius       7.14
Arnas          Pocius             8.51
Deividas       Zelvys             6.14
Vytautas       Kundrotas          6.00
Rokas          Bagdonas           7.69
Ignas          Balčiūnas          7.83
Deividas       Morkūnas           5.17
Saulius        Šimkus             7.63
Ignas          Vaičiūnas          6.91
Edgaras        Šimkus             8.80
Mindaugas      Navickas           5.83
Arnas          Žukauskas          6.83
Simonas        Sakalauskas        7.34
Karolis        Matulis            8.80
Martynas       Žukauskas          7.51
Tomas          Jasinskas          5.37
Justinas       Sakalauskas        5.66
Mindaugas      Vaičiūnas          5.31
Vytautas       Juodka             5.74
Dovydas        Paulauskas         6.83
Arnas          Zelvys             5.89
Giedrius       Balčiūnas          6.20
Paulius        Kairys             5.97
Vilius         Vaičiūnas          8.11
Vilius         Dapkus             7.26
Dominykas      Petrauskas         5.46
Martynas       Jasinskas          7.17
Lukas          Kazlauskas         7.00
Vytautas       Butkus             8.86
Saulius        Sakalauskas        6.43
Ignas          Zelvys             8.71
Dominykas      Kundrotas          5.83
Mantas         Zelvys             6.94
Vytautas       Morkūnas           5.49
Ernestas       Dapkus             7.26
Vilius         Paulauskas         5.49
Antanas        Norkus             7.11
Antanas        Bagdonas           5.63
Antanas        Petraitis          8.51
Saulius        Rutkauskas         7.46
Deividas       Kairys             8.34
Antanas        Dapkus             7.74
Saulius        Sabonis            7.80
Lukas          Bagdonas           8.97
Martynas       Pocius             7.46
Giedrius       Pocius             6.54
Laurynas       Butkus             6.09
Dovydas        Zelvys             6.20
Ignas          Jasinskas          6.46
Saulius        Petraitis          8.46
Ernestas       Paulauskas         6.69
Mindaugas      Juodka             5.09
Tomas          Norkus             6.09
Andrius        Petrauskas         5.17
Jonas          Kundrotas          7.54
Dominykas      Pocius             7.46
Saulius        Juodka             6.49
Simonas        Urbonas            7.09
Dominykas      Morkūnas           7.43
Gabrielius     Butkus             6.97
Mantas         Kazlauskas         5.17
Arnas          Morkūnas           8.11
Gabrielius     Dapkus             5.29
Vilius         Kairys             5.97
Dovydas        Jankauskas         5.23
Vytautas       Balsys             7.11
Mindaugas      Pocius             8.34
Lukas          Norkus             6.49
Laurynas       Navickas           7.54
Tomas          Vaičiūnas          7.34
Antanas        Petrauskas         7.26
Justinas       Jasinskas          5.49
Gabrielius     Petraitis          6.57
Šarūnas        Butkus             7.51
Aurimas        Juodka             6.23
Mindaugas      Kazlauskas         6.63
Tomas          Balčiūnas          5.54
Tomas          Jankauskas         5.77
Mantas         Sabonis            5.17
Šarūnas        Balsys             5.49
Mindaugas      Rutkauskas         5.00
Vilius         Vaičiūnas          6.86
Šarūnas        Matulis            5.34
Antanas        Vaičiūnas          5.29
Martynas       Vaičiūnas          7.74
Saulius        Kazlauskas         6.14
Arvydas        Butkus             5.17
Deividas       Morkūnas           5.40
Rokas          Jankauskas         7.14
Aurimas        Norkus             6.63
Arvydas        Petraitis          7.63
Šarūnas        Kazlauskas         5.86
Karolis        Vaičiūnas          7.14
Mindaugas      Paulauskas         6.69
Gabrielius     Sabonis            6.97
Arnas          Juodka             7.03
Dovydas        Petrauskas         6.91
Saulius        Vaitkus            5.63
Paulius        Vaičiūnas          5.77
Jonas          Šimkus             6.03
Martynas       Balsys             7.97
Vytautas       Matulis            6.29
Lukas          Urbonas            5.94
Arvydas        Kairys             8.00
Gabrielius     Rutkauskas         8.20
Tomas          Sabonis            7.03
Eimantas       Urbonas            5.71
Tomas          Petrauskas         8.51
Karolis        Jasinskas          5.11
Vilius         Norkus             6.91
Jonas          Kundrotas          8.29
Dovydas        Zelvys             7.51
Ignas          Kazlauskas         5.00
Vytautas       Petraitis          5.31
Edgaras        Bagdonas           5.46
Arvydas        Kundrotas          6.83
Giedrius       Sabonis            7.34
Aurimas        Matulis            8.03
Tomas          Balsys             7.86
Jonas          Jasinskas          6.80
Paulius        Juodka             5.09
Rokas          Dapkus             6.51
Ernestas       Sakalauskas        6.43
Andrius        Kazlauskas         8.06
Justinas       Juodka             5.54
Martynas       Zelvys             5.40
Paulius        Vaičiūnas          7.94
Aurimas        Jankauskas         8.09
Dovydas        Misevičius         7.80
Lukas          Sabonis            5.46
Antanas        Juodka             5.86
Tomas          Balsys             7.26
Giedrius       Jasinskas          6.46
Vilius         Žukauskas          6.43
Deividas       Sabonis            5.57
Dominykas      Pocius             5.66
Mindaugas      Žukauskas          7.23
Ignas          Norkus             6.17
Andrius        Urbonas            7.80
Edgaras        Petrauskas         7.46
Arnas          Misevičius         6.71
Mindaugas      Morkūnas           5.57
Arnas          Balčiūnas          7.86
Arvydas        Petrauskas         8.31
Edgaras        Misevičius         6.06
Karolis        Dapkus             5.29
Vilius         Kazlauskas         8.57
Šarūnas        Balsys             6.06
Karolis        Bagdonas           6.06
Mindaugas      Petrauskas         6.06
Lukas          Sabonis            7.09
Dovydas        Zelvys             7.71
Saulius        Norkus             8.11
Vilius         Kazlauskas         5.94
Arvydas        Urbonas            7.09
Justinas       Bagdonas           6.03
Saulius        Sabonis            6.60
Rokas          Kazlauskas         8.37
Gabrielius     Misevičius         6.06
Simonas        Butkus             8.63
Dominykas      Petrauskas         7.23
Lukas          Paulauskas         5.40
Andrius        Juodka             7.06
Arvydas        Zelvys             8.69
Dovydas        Kundrotas          8.74
Justinas       Jankauskas         8.03
Šarūnas        Petrauskas         6.03
Vilius         Petrauskas         7.46
Martynas       Jankauskas         6.83
Rokas          Butkus             5.40
Lukas          Misevičius         8.34
Martynas       Dapkus             5.20
Mindaugas      Jankauskas         8.46
Saulius        Rutkauskas         6.80
Simonas        Sabonis            6.31
Šarūnas        Morkūnas           6.37
Vytautas       Balčiūnas          7.94
Gabrielius     Rutkauskas         8.23
Dominykas      Jasinskas          6.80
Saulius        Petrauskas         5.09
Edgaras        Sabonis            8.97
Giedrius       Petrauskas         6.91
Vytautas       Petrauskas         7.31
Lukas          Vaitkus            5.69
Vytautas       Matulis            7.17
Karolis        Bagdonas           7.66
Šarūnas        Žukauskas          7.63
Paulius        Urbonas            6.03
Paulius        Juodka             8.09
Vilius         Morkūnas           8.46
Vytautas       Žukauskas          5.54
Šarūnas        Žukauskas          8.69
Šarūnas        Petrauskas         8.97
Giedrius       Dapkus             6.69
Mindaugas      Petraitis          6.71
Edgaras        Juodka             6.63
Eimantas       Sabonis            8.51
Ignas          Norkus             5.34
Simonas        Balsys             7.37
Giedrius       Jasinskas          7.69
Dovydas        Kazlauskas         6.20
Paulius        Dapkus             6.29
Giedrius       Paulauskas         5.29
Rokas          Sabonis            5.51
Vilius         Stankevičius       7.66
Šarūnas        Sakalauskas        5.43
Arnas          Kazlauskas         7.14
Vytautas       Norkus             6.49
Paulius        Balčiūnas          6.43
Jonas          Juodka             5.97
Arnas          Pocius             6.80
Saulius        Zelvys             8.23
Antanas        Butkus             6.43
Tomas          Balčiūnas          6.11
Ignas          Petraitis          6.97
Paulius        Kairys             7.97
Justinas       Zelvys             7.23
Simonas        Kairys             7.51
Arnas          Kazlauskas         7.49
Laurynas       Vaitkus            6.26
Eimantas       Žukauskas          7.83
Simonas        Matulis            7.09
Gabrielius     Paulauskas         8.06
Gabrielius     Vaičiūnas          7.63
Šarūnas        Sakalauskas        6.11
Simonas        Pocius             8.57
Jonas          Norkus             5.06
Ernestas       Sabonis            6.20
Ignas          Balsys             6.14
Giedrius       Norkus             8.91
Jonas          Zelvys             6.40
Dominykas      Sabonis            8.06
Simonas        Norkus             7.83
Martynas       Paulauskas         6.71
Aurimas        Juodka             7.40
Vilius         Vaičiūnas          6.43
Vytautas       Jasinskas          8.17
Ignas          Sakalauskas        7.89
Deividas       Vaičiūnas          7.60
Rokas          Navickas           8.06
Aurimas        Sabonis            5.40
Arvydas        Sakalauskas        7.57
Arvydas        Balsys             7.29
Martynas       Kundrotas          8.11
Mindaugas      Petraitis          9.03
Ernestas       Petrauskas         7.34
Saulius        Balčiūnas          6.63
Arnas          Kundrotas          7.09
Jonas          Dapkus             7.69
Šarūnas        Balčiūnas          5.43
Vilius         Dapkus             6.43
Saulius        Sakalauskas        6.71
Arvydas        Urbonas            6.37
Dominykas      Sabonis            8.03
Aurimas        Juodka             8.29
Vytautas       Butkus             7.69
Mantas         Sakalauskas        6.37
Vytautas       Butkus             5.43
Vytautas       Morkūnas           6.09
Dominykas      Petrauskas         5.63
Justinas       Zelvys             6.20
Eimantas       Juodka             7.17
Vytautas       Pocius             6.40
Giedrius       Kazlauskas         5.23
Justinas       Butkus             7.23
Martynas       Sabonis            7.09
Ernestas       Dapkus             6.43
Mindaugas      Morkūnas           5.66
Laurynas       Šimkus             7.94
Paulius        Misevičius         8.23
Rokas          Petraitis          5.51
Eimantas       Dapkus             5.83
Arvydas        Kairys             8.26
Tomas          Jankauskas         5.51
