Vardas         Pavarde        Galurinis (Med.)
------------------------------------------------
Bacevičius     Adomas             6.80
Bacevičius     Andrius            4.40
Bacevičius     Andrius            8.00
Bacevičius     Andrius            5.40
Bacevičius     Dovydas            4.40
Bacevičius     Dovydas            5.20
Bacevičius     Dovydas            6.40
Bacevičius     Ignas              8.80
Bacevičius     Ignas              4.60
Bacevičius     Jonas              4.00
Bacevičius     Jonas              5.00
Bacevičius     Jonas              9.60
Bacevičius     Jonas              4.40
Bacevičius     Jonas              7.20
Bacevičius     Kajus              5.00
Bacevičius     Kajus              4.40
Bacevičius     Laurynas           6.20
Bacevičius     Laurynas           5.20
Bacevičius     Lukas              5.00
Bacevičius     Lukas              5.00
Bacevičius     Lukas              4.00
Bacevičius     Mantas             5.00
Bacevičius     Martynas           4.80
Bacevičius     Nojus              6.80
Bacevičius     Nojus              4.20
Bacevičius     Paulius            6.40
Bacevičius     Paulius            7.20
Bacevičius     Rokas              7.60
Bacevičius     Titas              7.00
Bacevičius     Titas              7.20
Bacevičius     Tomas              3.60
Bacevičius     Tomas              6.60
Bacevičius     Tomas              5.00
Bacevičius     Vilius             5.20
Bacevičius     Vilius             4.80
Bacevičius     Vilius             3.40
Bacevičius     Vilius             5.00
Bacevičius     Vilius             7.00
Giedraitis     Adomas             4.40
Giedraitis     Adomas             4.60
Giedraitis     Andrius            2.60
Giedraitis     Arnas              3.80
Giedraitis     Arnas              7.60
Giedraitis     Arnas              5.00
Giedraitis     Arnas              7.00
Giedraitis     Benas              5.40
Giedraitis     Benas              6.40
Giedraitis     Benas              4.80
Giedraitis     Deividas           6.00
Giedraitis     Deividas           4.00
Giedraitis     Deividas           3.60
Giedraitis     Deividas           2.20
Giedraitis     Deividas           4.00
Giedraitis     Dominykas          5.80
Giedraitis     Dominykas          8.00
Giedraitis     Dominykas          4.00
Giedraitis     Dominykas          6.60
Giedraitis     Dovydas            5.80
Giedraitis     Ignas              5.60
Giedraitis     Ignas              6.80
Giedraitis     Kajus              4.20
Giedraitis     Laurynas           9.20
Giedraitis     Laurynas           6.40
Giedraitis     Laurynas           3.60
Giedraitis     Laurynas           2.40
Giedraitis     Laurynas           5.20
Giedraitis     Laurynas           8.00
Giedraitis     Lukas              6.40
Giedraitis     Lukas              4.20
Giedraitis     Lukas              7.20
Giedraitis     Lukas              3.20
Giedraitis     Mantas             4.40
Giedraitis     Martynas           3.00
Giedraitis     Nojus              6.20
Giedraitis     Nojus              9.00
Giedraitis     Nojus              4.20
Giedraitis     Nojus              8.20
Giedraitis     Paulius            3.80
Giedraitis     Paulius            4.20
Giedraitis     Rokas              7.00
Giedraitis     Rokas              4.60
Giedraitis     Titas              8.00
Giedraitis     Tomas              6.80
Giedraitis     Tomas              6.00
Giedraitis     Tomas              5.00
Giedraitis     Tomas              7.40
Giedraitis     Vilius             7.60
Giedraitis     Vilius             7.00
Giedraitis     Vilius             8.40
Grigaitis      Adomas             5.00
Grigaitis      Adomas             6.40
Grigaitis      Andrius            4.40
Grigaitis      Arnas              7.00
Grigaitis      Arnas              3.80
Grigaitis      Benas              6.80
Grigaitis      Benas              7.00
Grigaitis      Deividas           4.80
Grigaitis      Dominykas          4.40
Grigaitis      Dominykas          6.40
Grigaitis      Dovydas            4.20
Grigaitis      Dovydas            5.60
Grigaitis      Dovydas            8.40
Grigaitis      Dovydas            4.80
Grigaitis      Ignas              7.00
Grigaitis      Ignas              4.40
Grigaitis      Ignas              6.80
Grigaitis      Ignas              8.00
Grigaitis      Ignas              4.60
Grigaitis      Jonas              3.40
Grigaitis      Jonas              3.00
Grigaitis      Jonas              1.80
Grigaitis      Jonas              4.00
Grigaitis      Jonas              5.60
Grigaitis      Kajus              7.00
Grigaitis      Kajus              4.00
Grigaitis      Laurynas           8.00
Grigaitis      Laurynas           5.40
Grigaitis      Laurynas           6.20
Grigaitis      Lukas              6.20
Grigaitis      Mantas             6.20
Grigaitis      Mantas             3.80
Grigaitis      Martynas           4.20
Grigaitis      Martynas           5.60
Grigaitis      Martynas           1.40
Grigaitis      Martynas           5.20
Grigaitis      Martynas           8.60
Grigaitis      Nojus              4.80
Grigaitis      Nojus              1.40
Grigaitis      Nojus              5.20
Grigaitis      Nojus              8.00
Grigaitis      Paulius            2.00
Grigaitis      Paulius            5.80
Grigaitis      Rokas              7.80
Grigaitis      Rokas              6.60
Grigaitis      Rokas              4.00
Grigaitis      Titas              8.60
Grigaitis      Titas              6.40
Grigaitis      Titas              8.00
Grigaitis      Tomas              4.40
Grigaitis      Tomas              4.00
Grigaitis      Vilius             6.60
Jankauskas     Adomas             7.20
Jankauskas     Adomas             4.20
Jankauskas     Adomas             3.80
Jankauskas     Andrius            4.60
Jankauskas     Andrius            3.40
Jankauskas     Andrius            7.20
Jankauskas     Arnas              6.40
Jankauskas     Benas              4.80
Jankauskas     Benas              7.00
Jankauskas     Benas              4.20
Jankauskas     Deividas           8.40
Jankauskas     Dominykas          7.80
Jankauskas     Dovydas            3.60
Jankauskas     Dovydas            7.00
Jankauskas     Dovydas            6.80
Jankauskas     Dovydas            3.60
Jankauskas     Dovydas            6.60
Jankauskas     Ignas              5.20
Jankauskas     Ignas              8.40
Jankauskas     Ignas              8.80
Jankauskas     Ignas              3.20
Jankauskas     Jonas              2.60
Jankauskas     Jonas              3.40
Jankauskas     Kajus              3.20
Jankauskas     Kajus              4.00
Jankauskas     Kajus              8.60
Jankauskas     Kajus              4.80
Jankauskas     Laurynas           4.00
Jankauskas     Laurynas           7.20
Jankauskas     Lukas              5.00
Jankauskas     Lukas              7.00
Jankauskas     Mantas             4.60
Jankauskas     Martynas           3.20
Jankauskas     Martynas           6.00
Jankauskas     Nojus              5.60
Jankauskas     Paulius            4.20
Jankauskas     Paulius            7.00
Jankauskas     Paulius            7.80
Jankauskas     Rokas              3.60
Jankauskas     Rokas              7.60
Jankauskas     Titas              8.60
Jankauskas     Titas              4.60
Jankauskas     Titas              8.40
Jankauskas     Titas              8.80
Jankauskas     Titas              5.40
Jankauskas     Titas              3.60
Jankauskas     Tomas              5.00
Jankauskas     Tomas              8.00
Jankauskas     Vilius             7.00
Jankauskas     Vilius             4.00
Jankauskas     Vilius             6.00
Jankauskas     Vilius             8.80
Kairys         Adomas             3.00
Kairys         Adomas             5.60
Kairys         Adomas             8.20
Kairys         Andrius            6.80
Kairys         Andrius            5.80
