Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 ND11 ND12 ND13 ND14 ND15 Egz.
Saulius Kairys 2 10 9 8 8 3 7 2 4 3 5 1 5 7
Arvydas Butkus 4 7 2 5 1 4 9 4 3 6 3 2 9 10 8 6
Tomas Kairys 8 8 1 1 4 2 4 7 5 9 6 1 3 8 2 7
Antanas Juodka 9 3 4 4 2 1 4 1 9 5 3 4 8 10 6 8
Arvydas Paulauskas 1 7 9 2 7 10 2 1 5 7 9 5 8 1 10 8
Mantas Petrauskas 8 2 2 5 2 2 9 8 6 3 7 7 3 8 9 1
Deividas Zelvys 10 9 2 5 8 1 3 8 10 5 10 4 6 1 10 8
Deividas Morkūnas 1 7 7 8 9 6 10 3 6 1 4 8 5 6 4 1
Ignas Žukauskas 6 8 1 6 5 5 7 10 2 6 7 1 7 7 5 7
Gabrielius Kairys 6 3 1 4 1 10 9 10 7 5 9 7 6 3 10 6
Vilius Norkus 10 2 9 5 3 6 1 7 10 4 3 5 8 10 10 3
Edgaras Pocius 5 7 3 1 7 7 3 1 7 10 5 7 10 2 2 3
Ernestas Juodka 7 10 9 5 1 4 2 1 6 8 3 7 3 2 3 4
Deividas Kazlauskas 2 1 9 7 5 9 6 7 8 2 4 4 5 7 9 5
Giedrius Jasinskas 8 3 8 3 1 2 5 7 9 1 9 9 3 8 2 5
Deividas Juodka 2 5 9 7 1 10 5 6 2 10 5 6 5 8 4 8
Saulius Morkūnas 5 2 3 4 5 3 10 3 6 10 4 8 1 8 4 2
Rokas Norkus 2 1 4 1 4 5 5 4 2 5 7 8 10 9 10 6
Mindaugas Butkus 9 1 10 5 5 8 6 5 6 2 8 4 6 10 7 9
Paulius Rutkauskas 7 9 3 4 5 2 8 10 9 4 2 9 10 10 2 5
Laurynas Stankevičius 8 4 9 2 6 5 10 8 4 5 6 4 2 4 9 5
Edgaras Jankauskas 5 9 9 3 10 10 1 10 1 9 2 4 4 9 3 3
Saulius Kairys 3 8 8 3 4 5 6 1 6 9 2 8 7 6 8 1
Dominykas Sabonis 8 8 3 7 10 1 2 9 10 7 7 2 7 1 6 5
Dominykas Petrauskas 7 9 6 7 4 3 9 2 3 1 1 5 9 6 2 2
Andrius Stankevičius 5 3 10 8 5 6 10 4 9 1 3 6 1 3 8 4
Vytautas Rutkauskas 8 9 1 5 10 7 7 2 7 1 4 4 1 3 1 10
Lukas Bagdonas 1 2 4 3 2 1 10 4 1 3 4 5 5 1 2 10
Rokas Zelvys 9 3 10 1 8 2 8 1 8 4 9 2 2 8 8 6
Martynas Jasinskas 5 10 2 2 1 2 6 5 1 3 7 3 2 7 4 6
Ignas Sabonis 5 8 3 9 5 5 7 4 6 3 2 2 3 3 7 10
Aurimas Dapkus 10 8 2 7 8 1 1 3 8 4 1 2 1 6 1 3
Simonas Misevičius 3 6 10 8 5 6 2 8 7 8 2 9 5 4 2 2
Arnas Stankevičius 2 3 7 9 7 1 4 7 1 5 3 8 4 9 3 1
Justinas Navickas 8 1 3 10 6 3 2 6 2 8 10 5 6 8 9 1
Gabrielius Rutkauskas 1 6 8 7 4 8 3 7 2 7 8 6 9 2 2 5
Vilius Balsys 4 10 5 7 9 6 8 3 2 5 7 2 5 7 9 4
Edgaras Jankauskas 3 2 10 2 1 4 4 3 3 6 7 10 9 3 1 9
Andrius Juodka 2 8 1 5 4 8 10 4 3 9 10 10 9 2 9 6
Ernestas Kundrotas 6 3 8 5 4 1 1 5 1 5 5 10 10 2 5 2
Mantas Balčiūnas 3 1 10 1 7 5 2 8 2 6 9 1 8 8 6 7
Ernestas Bagdonas 3 8 7 3 1 8 1 6 8 2 8 2 2 2 2 5
Arnas Juodka 9 5 1 4 9 2 4 1 1 4 5 10 8 3 2 6
