Pavarde Vardas  ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Egzaminas
ukauskas Lukas 3 5 6 8 2 2 7 2 7 8 1
Petrauskas Laurynas 6 4 7 2 9 3 7 5 1 2 1
Giedraitis Rokas 7 9 3 7 3 1 1 2 1 9 9
Kairys Ignas 7 8 7 4 10 2 1 6 6 4 9
Kavaliauskas Rokas 8 3 9 1 2 6 2 3 3 10 6
?epas Kajus 6 6 1 8 3 3 10 8 9 6 3
Petrauskas Vilius 3 10 8 9 5 5 3 3 5 8 3
?epas Laurynas 1 10 6 5 3 5 6 9 10 10 7
Maeika Benas 3 9 6 1 8 5 5 7 4 3 1
Kazlauskas Mantas 4 3 5 1 7 1 8 9 9 8 5
Kavaliauskas Nojus 1 8 9 6 2 5 4 10 5 3 2
Grigaitis Lukas 5 8 8 9 5 3 2 7 4 3 3
?epas Nojus 8 4 2 8 4 3 3 10 1 10 3
Kairys Arnas 4 2 5 3 9 4 5 3 10 5 3
Petrauskas Martynas 4 2 1 2 5 9 7 4 2 9 4
?epas Tomas 4 8 5 9 7 3 5 2 6 5 6
Kavaliauskas Jonas 6 7 1 3 10 9 6 1 5 9 8
Giedraitis Tomas 8 3 6 10 3 10 3 4 2 9 10
Maeika Arnas 5 7 4 8 4 8 4 9 10 5 3
Giedraitis Martynas 9 10 9 10 6 9 4 3 1 5 10
ukauskas Dovydas 2 5 9 2 1 10 6 4 9 7 3
Šimkus Arnas 2 1 8 5 8 5 3 5 10 6 5
Šimkus Paulius 2 7 7 2 10 4 2 4 9 6 5
Vasiliauskas Vilius 9 5 7 3 6 4 5 5 7 9 3
Noreika Tomas 10 5 10 2 3 10 4 7 7 9 3
Bacevi?ius Titas 10 9 7 8 3 7 5 10 4 10 5
Stankevi?ius Arnas 10 7 5 9 5 4 9 9 6 7 6
Grigaitis Laurynas 7 1 3 8 10 3 3 9 2 10 6
ukauskas Titas 3 2 8 4 6 6 3 10 3 1 1
Kazlauskas Laurynas 6 6 4 8 2 3 2 3 3 6 10
Petrauskas Lukas 3 2 8 9 8 1 10 7 7 10 5
Noreika Laurynas 6 7 5 3 2 10 9 2 3 5 3
