Pavarde        Vardas         Galutinis (Vid.)
------------------------------------------------
Pavarde1       Vardas1            2.89
Pavarde102     Vardas102          3.15
Pavarde103     Vardas103          2.49
Pavarde104     Vardas104          4.15
Pavarde107     Vardas107          3.15
Pavarde11      Vardas11           3.19
Pavarde110     Vardas110          4.43
Pavarde111     Vardas111          3.39
Pavarde113     Vardas113          3.24
Pavarde114     Vardas114          3.13
Pavarde118     Vardas118          4.12
Pavarde12      Vardas12           4.32
Pavarde120     Vardas120          2.89
Pavarde122     Vardas122          4.05
Pavarde124     Vardas124          3.55
Pavarde128     Vardas128          3.61
Pavarde138     Vardas138          2.47
Pavarde14      Vardas14           2.39
Pavarde140     Vardas140          4.09
Pavarde141     Vardas141          4.75
Pavarde142     Vardas142          3.77
Pavarde144     Vardas144          2.73
Pavarde15      Vardas15           2.20
Pavarde150     Vardas150          4.19
Pavarde151     Vardas151          2.97
Pavarde152     Vardas152          2.57
Pavarde153     Vardas153          4.48
Pavarde155     Vardas155          2.71
Pavarde156     Vardas156          3.44
Pavarde158     Vardas158          4.71
Pavarde159     Vardas159          4.51
Pavarde16      Vardas16           4.01
Pavarde160     Vardas160          4.69
Pavarde162     Vardas162          2.63
Pavarde164     Vardas164          4.51
Pavarde165     Vardas165          3.32
Pavarde166     Vardas166          4.97
Pavarde167     Vardas167          4.93
Pavarde168     Vardas168          2.68
Pavarde169     Vardas169          3.33
Pavarde176     Vardas176          3.01
Pavarde177     Vardas177          3.20
Pavarde178     Vardas178          3.31
Pavarde185     Vardas185          3.41
Pavarde187     Vardas187          4.67
Pavarde19      Vardas19           3.65
Pavarde195     Vardas195          1.67
Pavarde197     Vardas197          3.68
Pavarde20      Vardas20           3.03
Pavarde200     Vardas200          4.04
Pavarde203     Vardas203          2.57
Pavarde206     Vardas206          4.92
Pavarde208     Vardas208          4.69
Pavarde209     Vardas209          4.95
Pavarde210     Vardas210          4.55
Pavarde213     Vardas213          3.60
Pavarde220     Vardas220          3.85
Pavarde222     Vardas222          2.39
Pavarde223     Vardas223          4.04
Pavarde225     Vardas225          2.79
Pavarde226     Vardas226          3.57
Pavarde227     Vardas227          3.93
Pavarde233     Vardas233          4.03
Pavarde234     Vardas234          4.53
Pavarde237     Vardas237          3.85
Pavarde240     Vardas240          3.57
Pavarde241     Vardas241          4.84
Pavarde242     Vardas242          4.72
Pavarde244     Vardas244          3.43
Pavarde247     Vardas247          3.15
Pavarde248     Vardas248          4.99
Pavarde249     Vardas249          2.79
Pavarde25      Vardas25           3.68
Pavarde252     Vardas252          3.28
Pavarde257     Vardas257          4.39
Pavarde26      Vardas26           4.45
Pavarde262     Vardas262          3.99
Pavarde265     Vardas265          3.03
Pavarde267     Vardas267          3.61
Pavarde27      Vardas27           3.28
Pavarde271     Vardas271          2.89
Pavarde273     Vardas273          2.81
